Дата свершения транзакции;Идентификатор акции;Маркер контрольной группы;Идентификатор клиента;Идентификатор свершенной транзакции;Оборот по транзакции (рубли + бонусы);Оборот по транзакции (рубли);Сумма начисленных бонусов по транзакции
25.12.2019 9:24;Контрольная 7% на Новых;true;213339117;106191893337;352;351,73;10,55
27.12.2019 16:06;Целевая 7% на Новых;false;213546727;106450388351;3 469;1 734,76;121,42
12.12.2019 15:41;Целевая 7% на Новых;false;269877421;104901683985;691;346,10;10,38
04.12.2019 13:38;Целевая 7% на Новых;false;255778737;104013949436;197;98,38;6,89
23.12.2019 14:30;Целевая 7% на Новых;false;212988177;106004796223;2 465;2 464,77;73,95
03.01.2020 11:09;Целевая 6% на Отток;false;230474270;106995770478;894;894,15;53,65
13.12.2019 11:09;Целевая 7% на Новых;false;212774025;104988873011;57;56,50;3,96
03.12.2019 18:35;Целевая 6% на Отток;false;252355887;103942911083;1 375;1 374,84;82,49
03.12.2019 10:54;Целевая 7% на Новых;false;221781566;103895818221;48;47,74;1,43
31.12.2019 14:51;Целевая 7% на Новых;false;213233400;106909195834;784;783,97;54,88
25.12.2019 18:30;Целевая 7% на Новых;false;218789476;106233537539;352;176,57;12,36
14.12.2019 17:03;Целевая 7% на Новых;false;221669446;105130402251;1 198;902,62;63,18
21.12.2019 16:36;Целевая 7% на Новых;false;233606336;105816039533;435;435,07;30,45
23.12.2019 8:33;Контрольная 7% на Новых;true;238599847;105976795566;469;468,97;14,07
23.12.2019 13:14;Контрольная 7% на Новых;true;213022913;105996833330;2 790;1 394,90;41,85
10.12.2019 13:13;Целевая 6% на Отток;false;276978106;104683939935;1 096;548,07;32,88
03.01.2020 10:41;Целевая 7% на Новых;false;216668973;106995633240;396;395,52;27,69
05.12.2019 18:05;Контрольная 7% на Новых;true;226645368;104168429668;56;56,08;1,68
13.12.2019 9:21;Целевая 6% на Отток;false;286556052;104984135528;463;463,46;27,80
09.12.2019 18:05;Целевая 6% на Отток;false;290405960;104588266549;49;49,37;2,97
09.12.2019 11:58;Целевая 7% на Новых;false;230888698;104542436752;552;276,89;19,38
01.01.2020 14:43;Целевая 7% на Новых;false;212601890;106977447158;2 919;1 573,59;110,15
26.12.2019 21:16;Целевая 6% на Отток;false;220342945;106344511885;619;309,35;18,56
25.12.2019 17:02;Целевая 7% на Новых;false;238129807;106225792792;4 288;4 288,38;300,20
21.12.2019 12:52;Целевая 7% на Новых;false;217305169;105796546114;3 547;1 773,46;124,15
12.12.2019 11:47;Контрольная 7% на Новых;true;255816095;104881417362;12;12,33;0,37
04.12.2019 12:26;Целевая 7% на Новых;false;217529545;104007829369;41;40,96;1,23
10.12.2019 14:47;Целевая 7% на Новых;false;227885323;104692167980;743;371,50;26,01
03.01.2020 15:10;Целевая 7% на Новых;false;211927404;107010480690;555;554,57;38,82
17.12.2019 17:30;Целевая 7% на Новых;false;221603211;105401083408;110;110,18;3,31
05.12.2019 9:42;Целевая 7% на Новых;false;244841647;104130171707;76;76,28;5,34
15.12.2019 14:33;Целевая 7% на Новых;false;240632983;105195390032;1 297;648,36;45,39
31.12.2019 15:40;Целевая 6% на Отток;false;212257804;106913142250;277;138,43;8,31
06.12.2019 10:41;Целевая 7% на Новых;false;213008807;104222849321;26;26,46;1,85
25.12.2019 11:48;Целевая 7% на Новых;false;306082169;106200666018;422;422,35;29,56
27.12.2019 9:59;Целевая 7% на Новых;false;213669914;106416791601;664;346,08;24,23
16.12.2019 8:51;Целевая 7% на Новых;false;255262840;105255858612;71;70,63;4,94
12.12.2019 12:19;Целевая 7% на Новых;false;213376258;104883474378;127;80,23;2,40
12.12.2019 12:07;Целевая 7% на Новых;false;213408292;104882183155;105;105,24;3,16
12.12.2019 10:03;Целевая 7% на Новых;false;259822791;104873528156;41;40,96;2,87
24.12.2019 9:30;Контрольная 7% на Новых;true;213603369;106097158897;504;252,56;7,57
17.12.2019 19:41;Целевая 6% на Отток;false;294570158;105411810679;92;46,33;1,38
17.12.2019 12:35;Целевая 7% на Новых;false;236658591;105376865338;1 645;823,52;57,65
11.12.2019 17:33;Целевая 7% на Новых;false;213294522;104794453023;1 173;1 172,70;82,10
15.12.2019 12:20;Целевая 7% на Новых;false;290490954;105186489811;41;40,96;2,87
19.12.2019 17:40;Целевая 7% на Новых;false;220271002;105568047719;1 645;823,24;57,62
14.12.2019 10:17;Контрольная 7% на Новых;true;263068330;105097699928;729;365,00;10,95
10.12.2019 15:57;Целевая 7% на Новых;false;217765591;104698346321;181;181,13;12,68
24.12.2019 13:46;Целевая 7% на Новых;false;212809039;106112696574;182;91,82;6,43
03.01.2020 14:00;Контрольная 7% на Новых;true;213213916;107004141707;110;110,18;3,31
17.12.2019 20:34;Целевая 7% на Новых;false;286309560;105416253727;69;69,22;4,85
06.12.2019 8:14;Целевая 7% на Новых;false;226066894;104216215954;28;28,25;1,98
26.12.2019 19:50;Контрольная 6% на Отток;true;212734021;106336268232;283;141,26;4,24
25.12.2019 14:21;Целевая 7% на Новых;false;213456241;106212019261;335;168,52;11,79
14.12.2019 15:05;Контрольная 7% на Новых;true;234163096;105118761003;705;353,14;10,59
16.12.2019 22:26;Целевая 7% на Новых;false;220811935;105320288071;246;245,78;17,20
04.12.2019 21:43;Целевая 7% на Новых;false;236968026;104068448252;235;117,95;8,26
20.12.2019 13:38;Целевая 7% на Новых;false;212695238;105681525318;493;247,20;17,30
07.12.2019 13:30;Целевая 7% на Новых;false;253272298;104366963461;69;69,22;4,85
05.12.2019 13:08;Контрольная 6% на Отток;true;220888163;104143674984;885;442,44;13,28
22.12.2019 13:48;Целевая 7% на Новых;false;242439452;105891388646;103;102,83;7,19
03.12.2019 15:43;Целевая 7% на Новых;false;212659768;103925890056;41;40,96;2,87
09.12.2019 8:06;Целевая 7% на Новых;false;212819655;104516625908;178;88,99;6,23
12.12.2019 16:02;Целевая 6% на Отток;false;213337281;104903839223;1 001;500,75;30,06
04.12.2019 14:09;Целевая 7% на Новых;false;232710845;104017454838;1 500;1 413,40;98,94
05.12.2019 18:34;Целевая 7% на Новых;false;212679711;104170955924;140;139,84;9,79
13.12.2019 15:30;Целевая 7% на Новых;false;226092710;105008705328;120;60,74;1,82
13.12.2019 18:39;Целевая 7% на Новых;false;218301446;105025865774;257;128,54;3,86
13.12.2019 12:55;Целевая 7% на Новых;false;234856972;104995795199;175;175,02;12,26
03.12.2019 19:20;Контрольная 7% на Новых;true;251859478;103947221817;1 369;1 207,73;36,23
09.12.2019 15:02;Целевая 7% на Новых;false;212923853;104564917351;189;94,64;6,62
11.12.2019 15:05;Целевая 7% на Новых;false;214280219;104780610888;2 527;1 405,49;98,38
31.12.2019 14:57;Целевая 7% на Новых;false;213800737;106909444984;229;114,42;3,43
26.12.2019 20:45;Целевая 7% на Новых;false;212976129;106341486163;834;417,52;29,23
30.12.2019 9:06;Целевая 7% на Новых;false;263622673;106765808409;275;138,43;9,69
04.12.2019 11:11;Контрольная 7% на Новых;true;246926495;104001984074;246;123,60;3,72
03.01.2020 2:24;Контрольная 7% на Новых;true;215406334;106994681585;520;519,82;15,59
11.12.2019 18:30;Целевая 7% на Новых;false;214018601;104800358537;7;7,06;0,21
06.12.2019 12:18;Целевая 6% на Отток;false;237164937;104230925305;97;49,30;1,48
26.12.2019 19:02;Целевая 6% на Отток;false;285981639;106331309799;457;228,83;13,73
25.12.2019 14:40;Целевая 7% на Новых;false;213396116;106213587366;729;364,44;10,93
14.12.2019 12:37;Целевая 7% на Новых;false;212977626;105105481686;531;530,70;37,15
21.12.2019 14:02;Целевая 7% на Новых;false;232133185;105802420877;407;406,82;28,48
05.12.2019 8:19;Целевая 7% на Новых;false;233815641;104128220433;296;296,21;20,74
22.12.2019 15:40;Целевая 7% на Новых;false;213310396;105901281913;7 119;5 565,47;389,58
03.12.2019 16:11;Целевая 7% на Новых;false;290559744;103928555828;47;46,61;3,26
18.12.2019 16:54;Целевая 7% на Новых;false;213287780;105478528527;2 173;1 086,40;76,04
28.12.2019 15:18;Контрольная 6% на Отток;true;227158297;106575386825;545;272,34;8,16
19.12.2019 13:09;Целевая 7% на Новых;false;255778737;105543173996;1 070;535,01;16,05
25.12.2019 13:03;Целевая 6% на Отток;false;213530962;106206106557;260;129,96;3,90
25.12.2019 20:20;Целевая 7% на Новых;false;235953301;106242945750;864;433,39;30,33
21.12.2019 14:27;Целевая 7% на Новых;false;214369388;105804711324;764;683,68;47,86
21.12.2019 13:54;Целевая 7% на Новых;false;277357775;105801683053;611;305,47;21,39
16.12.2019 19:26;Целевая 6% на Отток;false;294570158;105303358374;239;120,77;7,26
04.12.2019 18:21;Целевая 7% на Новых;false;244156703;104045727037;1 228;652,60;45,68
17.12.2019 19:23;Целевая 7% на Новых;false;239066675;105410302780;421;420,94;29,47
05.12.2019 12:30;Целевая 6% на Отток;false;216715649;104140845650;195;97,47;5,85
05.12.2019 12:33;Целевая 7% на Новых;false;213100378;104140920818;2 828;1 414,02;98,98
13.12.2019 17:04;Контрольная 7% на Новых;true;230958247;105017155432;3;2,88;0,08
28.12.2019 17:19;Целевая 7% на Новых;false;212784788;106587246564;81;80,52;2,42
15.12.2019 15:35;Целевая 7% на Новых;false;244206533;105200950098;179;179,39;12,56
25.12.2019 14:30;Целевая 6% на Отток;false;253179082;106212809527;407;406,82;12,20
25.12.2019 16:42;Целевая 6% на Отток;false;207414284;106224134113;745;372,91;11,19
14.12.2019 10:30;Целевая 7% на Новых;false;245222812;105098413284;945;945,00;66,15
27.12.2019 18:34;Целевая 7% на Новых;false;260233688;106464763389;886;443,54;31,05
12.12.2019 14:45;Целевая 7% на Новых;false;220778956;104896230037;116;116,39;8,15
08.12.2019 18:40;Целевая 7% на Новых;false;251368368;104474673190;83;83,34;5,83
24.12.2019 8:16;Целевая 7% на Новых;false;234315390;106095308846;2 244;2 243,70;157,06
24.12.2019 15:22;Контрольная 7% на Новых;true;218160725;106120966886;2 783;1 391,37;41,74
24.12.2019 10:39;Целевая 7% на Новых;false;216581443;106100096694;822;822,11;57,55
13.12.2019 13:37;Целевая 7% на Новых;false;273139515;104999173806;38;38,14;1,14
09.12.2019 12:47;Целевая 7% на Новых;false;213518162;104547748260;335;168,09;11,77
31.12.2019 14:17;Целевая 7% на Новых;false;230924975;106906101791;1 078;1 031,87;72,24
26.12.2019 13:27;Целевая 6% на Отток;false;240251699;106298412592;28;28,25;1,70
30.12.2019 8:00;Целевая 7% на Новых;false;202950399;106764273077;701;700,63;49,04
25.12.2019 18:33;Контрольная 7% на Новых;true;213319670;106233635157;27;26,84;0,81
16.12.2019 17:40;Целевая 7% на Новых;false;213865929;105293378248;175;154,25;10,81
10.12.2019 10:44;Целевая 7% на Новых;false;240008783;104671589328;316;158,21;11,07
10.12.2019 16:25;Целевая 7% на Новых;false;249878466;104700218922;55;55,09;3,86
02.01.2020 13:02;Целевая 7% на Новых;false;247540858;106986017899;233;233,07;6,99
17.12.2019 18:16;Целевая 7% на Новых;false;218111178;105404718698;2 033;1 326,39;39,79
05.12.2019 13:25;Целевая 7% на Новых;false;243553138;104144943063;2 084;1 583,47;110,84
18.12.2019 9:33;Целевая 7% на Новых;false;213101977;105448976307;134;134,19;9,39
06.12.2019 14:48;Целевая 7% на Новых;false;244152944;104244791113;486;485,92;34,01
14.12.2019 13:40;Целевая 6% на Отток;false;213242598;105110736172;753;377,15;22,63
27.12.2019 14:03;Целевая 7% на Новых;false;213138051;106438272382;182;91,11;2,74
09.12.2019 15:54;Целевая 7% на Новых;false;234220324;104571391195;2 370;1 262,19;88,36
14.12.2019 15:59;Целевая 6% на Отток;false;223822200;105124082591;195;97,47;5,85
27.12.2019 22:44;Целевая 6% на Отток;false;202695450;106488741304;801;401,17;24,07
27.12.2019 15:14;Целевая 7% на Новых;false;238087674;106445045074;7;7,06;0,49
16.12.2019 13:51;Целевая 7% на Новых;false;205979066;105276012267;1 908;1 659,47;49,78
12.12.2019 15:33;Целевая 7% на Новых;false;269877421;104900974662;351;176,15;12,33
12.12.2019 14:34;Целевая 7% на Новых;false;213165388;104895096104;2 280;1 517,75;106,24
04.12.2019 16:25;Целевая 7% на Новых;false;213684797;104032500511;603;603,16;42,22
07.12.2019 15:41;Целевая 6% на Отток;false;235984648;104377300954;536;536,06;32,18
03.01.2020 21:58;Целевая 7% на Новых;false;238546897;107037307547;44;43,90;3,07
17.12.2019 11:36;Контрольная 7% на Новых;true;251809496;105373451663;353;176,57;5,30
05.12.2019 9:24;Контрольная 7% на Новых;true;234058769;104129756021;1 962;1 823,61;54,71
13.12.2019 16:11;Целевая 7% на Новых;false;290605658;105012355886;862;430,83;30,16
18.12.2019 13:55;Контрольная 7% на Новых;true;213036540;105463854733;816;408,23;12,25
28.12.2019 11:28;Контрольная 7% на Новых;true;223771413;106553612365;1 267;634,24;19,03
11.12.2019 14:54;Целевая 7% на Новых;false;217008318;104779555567;436;218,52;15,30
11.12.2019 10:03;Целевая 6% на Отток;false;229176522;104759643513;918;918,16;55,09
15.12.2019 15:00;Целевая 7% на Новых;false;224312484;105197809228;2 877;2 877,23;201,42
31.12.2019 13:50;Целевая 7% на Новых;false;250508658;106904046182;2 626;1 939,44;135,76
06.12.2019 14:50;Целевая 7% на Новых;false;213751522;104244908709;1 496;748,65;22,46
19.12.2019 22:00;Контрольная 7% на Новых;true;213299644;105594119848;313;157,92;4,73
25.12.2019 18:41;Целевая 7% на Новых;false;255569613;106234108403;129;64,41;4,51
27.12.2019 17:49;Целевая 6% на Отток;false;212746399;106460364000;324;163,15;9,80
12.12.2019 15:36;Целевая 7% на Новых;false;259733221;104901249249;42;42,38;2,97
20.12.2019 20:03;Целевая 7% на Новых;false;233479941;105718602821;138;138,43;9,69
07.12.2019 14:11;Целевая 7% на Новых;false;230103567;104370602301;107;53,68;3,76
03.12.2019 17:16;Целевая 6% на Отток;false;242959302;103935417821;41;40,96;2,46
03.12.2019 11:14;Целевая 7% на Новых;false;240912651;103897991840;3 773;3 107,90;217,56
26.12.2019 12:28;Контрольная 7% на Новых;true;225329572;106293542104;42;42,38;1,27
15.12.2019 0:23;Целевая 7% на Новых;false;214279689;105168827310;813;406,82;28,48
04.12.2019 16:10;Целевая 7% на Новых;false;212251298;104030699504;488;244,65;17,13
23.12.2019 21:23;Целевая 6% на Отток;false;212779435;106046172544;42;42,38;2,54
10.12.2019 17:01;Контрольная 7% на Новых;true;220875839;104702343064;1 854;927,41;27,83
29.12.2019 13:10;Целевая 7% на Новых;false;233303098;106683023723;116;58,20;1,75
13.12.2019 9:39;Целевая 7% на Новых;false;246575713;104984635689;69;35,31;2,47
19.12.2019 17:49;Целевая 6% на Отток;false;231852799;105568837333;27;14,13;0,42
25.12.2019 11:29;Целевая 7% на Новых;false;242923165;106199477632;603;603,33;42,22
25.12.2019 18:04;Целевая 7% на Новых;false;212961749;106231246819;110;110,18;7,71
21.12.2019 12:01;Целевая 7% на Новых;false;213321266;105793245248;331;165,58;11,60
21.12.2019 13:28;Целевая 7% на Новых;false;213989386;105799286648;1 003;549,48;38,46
23.12.2019 14:17;Целевая 7% на Новых;false;225553332;106003283682;1 952;1 149,82;34,49
23.12.2019 11:19;Целевая 7% на Новых;false;237186672;105986017119;13;12,71;0,89
03.01.2020 15:07;Целевая 7% на Новых;false;237758156;107009914650;533;266,55;8,00
22.12.2019 14:53;Целевая 7% на Новых;false;213240779;105897168806;1 326;1 021,28;71,49
13.12.2019 10:22;Целевая 7% на Новых;false;213440575;104986167131;618;618,13;43,27
18.12.2019 11:24;Целевая 7% на Новых;false;228235988;105453715437;249;249,46;17,46
11.12.2019 14:59;Целевая 7% на Новых;false;212256536;104780016120;823;412,47;28,87
19.12.2019 16:04;Целевая 6% на Отток;false;214210342;105559085660;106;53,68;3,22
27.12.2019 20:26;Целевая 7% на Новых;false;202642101;106474999307;507;471,79;33,03
27.12.2019 12:46;Целевая 7% на Новых;false;212826336;106430482637;347;264,12;7,92
27.12.2019 10:46;Целевая 6% на Отток;false;220304726;106420297443;316;159,62;9,58
12.12.2019 13:10;Целевая 7% на Новых;false;213224299;104887696857;154;77,83;5,44
